Country,Latitude,Longitude,Purchase Link,Discription
Ethiopia,9.145,40.489673,http://amzn.to/2eAyD0T,"Harar: Famous for its blueberry notes. Also expect apricot, chocolate, leather, wineyness, and even gamey notes. These are dry process, complex cups, prized for espresso blends
Yrgacheffe: Famous for its potent floral aroma. Delicate citrus and green tea notes accompany the flowers. Great Yrgs also have balancing sweetness and middle fruit flavors.
Other: Other regions produce cups intermediate between the Harar and Yrgacheffe extremes. Quality can be very uneven; but well prepped lots can be spectacular.
"
Tanzania,-6.369028,34.888822,http://amzn.to/2x3cAra,"Similar to Kenyas, but more understated in acidity and fruit. Frequently have ceder flavors"
Rwanda,-1.940278,29.873888,http://amzn.to/2wwF4rM,"Similar to Kenyas, but more understated in acidity and fruit. Frequently have ceder flavors"
Zimbabwe,-19.015438,29.154857,http://amzn.to/2xHUTuk,"Similar to Kenyas, but more understated in acidity and fruit. Frequently have ceder flavors"
Yemen,15.552727,48.516388,http://amzn.to/2eB0hei,"Dry process, similar to Harar. The best ones are dizzyingly complex, and have an effect similar to well aged wine or brandy."
Burundi,-3.373056,29.918886,http://amzn.to/2wzlYQd,"Lower acid, heavier bodied coffees with vanilla and chocolate roast tastes. In good years, they can taste like spectacular ""super-javas;"" but sadly, their quality is very uneven."
Uganda,1.373333,32.290275,http://amzn.to/2xIdpCW,"Lower acid, heavier bodied coffees with vanilla and chocolate roast tastes. In good years, they can taste like spectacular ""super-javas;"" but sadly, their quality is very uneven."
Indonesia,-0.789275,113.921327,http://amzn.to/2iUQmBt,"Java: The first coffee growing area under European control; so the name has become synonymous with coffee. Good quality Java is a very low acid, very heavy bodied classic cup. Aged (old brown) Java has intense woody roast tastes, extremely heavy body, and almost no acidity."
Sulawesi Toraja ,-5.142603,119.490852,https://www.smokinbeans.com/sulawesi/,"A semi-wet processed coffee, classic cup like Java, but with more exotic spice and dark fruit flavors. Roast flavors tend towards chocolate."
Papua New Guinea,-6.314993,143.95555,http://amzn.to/2xISEHs,Fruitier and lighter bodied than Sulawesis. Poor ones can taste like beef broth; good ones like pleasantly exotic classic cups.
Bali,-8.409518,115.188916,http://amzn.to/2ewmyWX,"Prized by the Japanese for its flawless processing and translucent emerald beans, hence expensive. Similar in its virtues and faults to Papua New Guinea"
India,20.593684,78.96288,http://amzn.to/2iUrSbF,"The first region outside Arabia to cultivate coffee. Indian coffees are very well processed. The highest grades are spicy and have hints of tropical fruit. Monsooned varieties (a form of aging) are very heavy bodied, have intense loamy and woody flavors, and are very low acid. Italian blenders use Indian coffees in preference to Indonesian ones as bases for espresso blends. Their use in the US is just beginning"
